¡	&iexcl;	&#x000A1;	&#161;	INVERTED EXCLAMATION MARK
¼	&frac14;	&#x000BC;	&#188;	VULGAR FRACTION ONE QUARTER
½	&frac12; &half;	&#x000BD;	&#189;	VULGAR FRACTION ONE HALF
¾	&frac34;	&#x000BE;	&#190;	VULGAR FRACTION THREE QUARTERS
¿	&iquest;	&#x000BF;	&#191;	INVERTED QUESTION MARK
À	&Agrave;	&#x000C0;	&#192;	LATIN CAPITAL LETTER A WITH GRAVE
Á	&Aacute;	&#x000C1;	&#193;	LATIN CAPITAL LETTER A WITH ACUTE
Â	&Acirc;	&#x000C2;	&#194;	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
Ã	&Atilde;	&#x000C3;	&#195;	LATIN CAPITAL LETTER A WITH TILDE
Ä	&Auml;	&#x000C4;	&#196;	LATIN CAPITAL LETTER A WITH DIAERESIS
Å	&Aring;	&#x000C5;	&#197;	LATIN CAPITAL LETTER A WITH RING ABOVE
Æ	&AElig;	&#x000C6;	&#198;	LATIN CAPITAL LETTER AE
Ç	&Ccedil;	&#x000C7;	&#199;	LATIN CAPITAL LETTER C WITH CEDILLA
È	&Egrave;	&#x000C8;	&#200;	LATIN CAPITAL LETTER E WITH GRAVE
É	&Eacute;	&#x000C9;	&#201;	LATIN CAPITAL LETTER E WITH ACUTE
Ê	&Ecirc;	&#x000CA;	&#202;	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
Ë	&Euml;	&#x000CB;	&#203;	LATIN CAPITAL LETTER E WITH DIAERESIS
Ì	&Igrave;	&#x000CC;	&#204;	LATIN CAPITAL LETTER I WITH GRAVE
Í	&Iacute;	&#x000CD;	&#205;	LATIN CAPITAL LETTER I WITH ACUTE
Î	&Icirc;	&#x000CE;	&#206;	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
Ï	&Iuml;	&#x000CF;	&#207;	LATIN CAPITAL LETTER I WITH DIAERESIS
Ð	&ETH;	&#x000D0;	&#208;	LATIN CAPITAL LETTER ETH
Ñ	&Ntilde;	&#x000D1;	&#209;	LATIN CAPITAL LETTER N WITH TILDE
Ò	&Ograve;	&#x000D2;	&#210;	LATIN CAPITAL LETTER O WITH GRAVE
Ó	&Oacute;	&#x000D3;	&#211;	LATIN CAPITAL LETTER O WITH ACUTE
Ô	&Ocirc;	&#x000D4;	&#212;	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
Õ	&Otilde;	&#x000D5;	&#213;	LATIN CAPITAL LETTER O WITH TILDE
Ö	&Ouml;	&#x000D6;	&#214;	LATIN CAPITAL LETTER O WITH DIAERESIS
×	&times;	&#x000D7;	&#215;	MULTIPLICATION SIGN
Ø	&Oslash;	&#x000D8;	&#216;	LATIN CAPITAL LETTER O WITH STROKE
Ù	&Ugrave;	&#x000D9;	&#217;	LATIN CAPITAL LETTER U WITH GRAVE
Ú	&Uacute;	&#x000DA;	&#218;	LATIN CAPITAL LETTER U WITH ACUTE
Û	&Ucirc;	&#x000DB;	&#219;	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
Ü	&Uuml;	&#x000DC;	&#220;	LATIN CAPITAL LETTER U WITH DIAERESIS
Ý	&Yacute;	&#x000DD;	&#221;	LATIN CAPITAL LETTER Y WITH ACUTE
Þ	&THORN;	&#x000DE;	&#222;	LATIN CAPITAL LETTER THORN
ß	&szlig;	&#x000DF;	&#223;	LATIN SMALL LETTER SHARP S
à	&agrave;	&#x000E0;	&#224;	LATIN SMALL LETTER A WITH GRAVE
á	&aacute;	&#x000E1;	&#225;	LATIN SMALL LETTER A WITH ACUTE
â	&acirc;	&#x000E2;	&#226;	LATIN SMALL LETTER A WITH CIRCUMFLEX
ã	&atilde;	&#x000E3;	&#227;	LATIN SMALL LETTER A WITH TILDE
ä	&auml;	&#x000E4;	&#228;	LATIN SMALL LETTER A WITH DIAERESIS
å	&aring;	&#x000E5;	&#229;	LATIN SMALL LETTER A WITH RING ABOVE
æ	&aelig;	&#x000E6;	&#230;	LATIN SMALL LETTER AE
ç	&ccedil;	&#x000E7;	&#231;	LATIN SMALL LETTER C WITH CEDILLA
è	&egrave;	&#x000E8;	&#232;	LATIN SMALL LETTER E WITH GRAVE
é	&eacute;	&#x000E9;	&#233;	LATIN SMALL LETTER E WITH ACUTE
ê	&ecirc;	&#x000EA;	&#234;	LATIN SMALL LETTER E WITH CIRCUMFLEX
ë	&euml;	&#x000EB;	&#235;	LATIN SMALL LETTER E WITH DIAERESIS
ì	&igrave;	&#x000EC;	&#236;	LATIN SMALL LETTER I WITH GRAVE
í	&iacute;	&#x000ED;	&#237;	LATIN SMALL LETTER I WITH ACUTE
î	&icirc;	&#x000EE;	&#238;	LATIN SMALL LETTER I WITH CIRCUMFLEX
ï	&iuml;	&#x000EF;	&#239;	LATIN SMALL LETTER I WITH DIAERESIS
ð	&eth;	&#x000F0;	&#240;	LATIN SMALL LETTER ETH
ñ	&ntilde;	&#x000F1;	&#241;	LATIN SMALL LETTER N WITH TILDE
ò	&ograve;	&#x000F2;	&#242;	LATIN SMALL LETTER O WITH GRAVE
ó	&oacute;	&#x000F3;	&#243;	LATIN SMALL LETTER O WITH ACUTE
ô	&ocirc;	&#x000F4;	&#244;	LATIN SMALL LETTER O WITH CIRCUMFLEX
õ	&otilde;	&#x000F5;	&#245;	LATIN SMALL LETTER O WITH TILDE
ö	&ouml;	&#x000F6;	&#246;	LATIN SMALL LETTER O WITH DIAERESIS
÷	&divide; &div;	&#x000F7;	&#247;	DIVISION SIGN
ø	&oslash;	&#x000F8;	&#248;	LATIN SMALL LETTER O WITH STROKE
ù	&ugrave;	&#x000F9;	&#249;	LATIN SMALL LETTER U WITH GRAVE
ú	&uacute;	&#x000FA;	&#250;	LATIN SMALL LETTER U WITH ACUTE
û	&ucirc;	&#x000FB;	&#251;	LATIN SMALL LETTER U WITH CIRCUMFLEX
ü	&uuml;	&#x000FC;	&#252;	LATIN SMALL LETTER U WITH DIAERESIS
ý	&yacute;	&#x000FD;	&#253;	LATIN SMALL LETTER Y WITH ACUTE
þ	&thorn;	&#x000FE;	&#254;	LATIN SMALL LETTER THORN
ÿ	&yuml;	&#x000FF;	&#255;	LATIN SMALL LETTER Y WITH DIAERESIS
Ā	&Amacr;	&#x00100;	&#256;	LATIN CAPITAL LETTER A WITH MACRON
ā	&amacr;	&#x00101;	&#257;	LATIN SMALL LETTER A WITH MACRON
Ă	&Abreve;	&#x00102;	&#258;	LATIN CAPITAL LETTER A WITH BREVE
ă	&abreve;	&#x00103;	&#259;	LATIN SMALL LETTER A WITH BREVE
Ą	&Aogon;	&#x00104;	&#260;	LATIN CAPITAL LETTER A WITH OGONEK
ą	&aogon;	&#x00105;	&#261;	LATIN SMALL LETTER A WITH OGONEK
Ć	&Cacute;	&#x00106;	&#262;	LATIN CAPITAL LETTER C WITH ACUTE
ć	&cacute;	&#x00107;	&#263;	LATIN SMALL LETTER C WITH ACUTE
Ĉ	&Ccirc;	&#x00108;	&#264;	LATIN CAPITAL LETTER C WITH CIRCUMFLEX
ĉ	&ccirc;	&#x00109;	&#265;	LATIN SMALL LETTER C WITH CIRCUMFLEX
Ċ	&Cdot;	&#x0010A;	&#266;	LATIN CAPITAL LETTER C WITH DOT ABOVE
ċ	&cdot;	&#x0010B;	&#267;	LATIN SMALL LETTER C WITH DOT ABOVE
Č	&Ccaron;	&#x0010C;	&#268;	LATIN CAPITAL LETTER C WITH CARON
č	&ccaron;	&#x0010D;	&#269;	LATIN SMALL LETTER C WITH CARON
Ď	&Dcaron;	&#x0010E;	&#270;	LATIN CAPITAL LETTER D WITH CARON
ď	&dcaron;	&#x0010F;	&#271;	LATIN SMALL LETTER D WITH CARON
Đ	&Dstrok;	&#x00110;	&#272;	LATIN CAPITAL LETTER D WITH STROKE
đ	&dstrok;	&#x00111;	&#273;	LATIN SMALL LETTER D WITH STROKE
Ē	&Emacr;	&#x00112;	&#274;	LATIN CAPITAL LETTER E WITH MACRON
ē	&emacr;	&#x00113;	&#275;	LATIN SMALL LETTER E WITH MACRON
Ė	&Edot;	&#x00116;	&#278;	LATIN CAPITAL LETTER E WITH DOT ABOVE
ė	&edot;	&#x00117;	&#279;	LATIN SMALL LETTER E WITH DOT ABOVE
Ę	&Eogon;	&#x00118;	&#280;	LATIN CAPITAL LETTER E WITH OGONEK
ę	&eogon;	&#x00119;	&#281;	LATIN SMALL LETTER E WITH OGONEK
Ě	&Ecaron;	&#x0011A;	&#282;	LATIN CAPITAL LETTER E WITH CARON
ě	&ecaron;	&#x0011B;	&#283;	LATIN SMALL LETTER E WITH CARON
Ĝ	&Gcirc;	&#x0011C;	&#284;	LATIN CAPITAL LETTER G WITH CIRCUMFLEX
ĝ	&gcirc;	&#x0011D;	&#285;	LATIN SMALL LETTER G WITH CIRCUMFLEX
Ğ	&Gbreve;	&#x0011E;	&#286;	LATIN CAPITAL LETTER G WITH BREVE
ğ	&gbreve;	&#x0011F;	&#287;	LATIN SMALL LETTER G WITH BREVE
Ġ	&Gdot;	&#x00120;	&#288;	LATIN CAPITAL LETTER G WITH DOT ABOVE
ġ	&gdot;	&#x00121;	&#289;	LATIN SMALL LETTER G WITH DOT ABOVE
Ģ	&Gcedil;	&#x00122;	&#290;	LATIN CAPITAL LETTER G WITH CEDILLA
Ĥ	&Hcirc;	&#x00124;	&#292;	LATIN CAPITAL LETTER H WITH CIRCUMFLEX
ĥ	&hcirc;	&#x00125;	&#293;	LATIN SMALL LETTER H WITH CIRCUMFLEX
Ħ	&Hstrok;	&#x00126;	&#294;	LATIN CAPITAL LETTER H WITH STROKE
ħ	&hstrok;	&#x00127;	&#295;	LATIN SMALL LETTER H WITH STROKE
Ĩ	&Itilde;	&#x00128;	&#296;	LATIN CAPITAL LETTER I WITH TILDE
ĩ	&itilde;	&#x00129;	&#297;	LATIN SMALL LETTER I WITH TILDE
Ī	&Imacr;	&#x0012A;	&#298;	LATIN CAPITAL LETTER I WITH MACRON
ī	&imacr;	&#x0012B;	&#299;	LATIN SMALL LETTER I WITH MACRON
Į	&Iogon;	&#x0012E;	&#302;	LATIN CAPITAL LETTER I WITH OGONEK
į	&iogon;	&#x0012F;	&#303;	LATIN SMALL LETTER I WITH OGONEK
İ	&Idot;	&#x00130;	&#304;	LATIN CAPITAL LETTER I WITH DOT ABOVE
ı	&imath; &inodot;	&#x00131;	&#305;	LATIN SMALL LETTER DOTLESS I
Ĳ	&IJlig;	&#x00132;	&#306;	LATIN CAPITAL LIGATURE IJ
ĳ	&ijlig;	&#x00133;	&#307;	LATIN SMALL LIGATURE IJ
Ĵ	&Jcirc;	&#x00134;	&#308;	LATIN CAPITAL LETTER J WITH CIRCUMFLEX
ĵ	&jcirc;	&#x00135;	&#309;	LATIN SMALL LETTER J WITH CIRCUMFLEX
Ķ	&Kcedil;	&#x00136;	&#310;	LATIN CAPITAL LETTER K WITH CEDILLA
ķ	&kcedil;	&#x00137;	&#311;	LATIN SMALL LETTER K WITH CEDILLA
ĸ	&kgreen;	&#x00138;	&#312;	LATIN SMALL LETTER KRA
Ĺ	&Lacute;	&#x00139;	&#313;	LATIN CAPITAL LETTER L WITH ACUTE
ĺ	&lacute;	&#x0013A;	&#314;	LATIN SMALL LETTER L WITH ACUTE
Ļ	&Lcedil;	&#x0013B;	&#315;	LATIN CAPITAL LETTER L WITH CEDILLA
ļ	&lcedil;	&#x0013C;	&#316;	LATIN SMALL LETTER L WITH CEDILLA
Ľ	&Lcaron;	&#x0013D;	&#317;	LATIN CAPITAL LETTER L WITH CARON
ľ	&lcaron;	&#x0013E;	&#318;	LATIN SMALL LETTER L WITH CARON
Ŀ	&Lmidot;	&#x0013F;	&#319;	LATIN CAPITAL LETTER L WITH MIDDLE DOT
ŀ	&lmidot;	&#x00140;	&#320;	LATIN SMALL LETTER L WITH MIDDLE DOT
Ł	&Lstrok;	&#x00141;	&#321;	LATIN CAPITAL LETTER L WITH STROKE
ł	&lstrok;	&#x00142;	&#322;	LATIN SMALL LETTER L WITH STROKE
Ń	&Nacute;	&#x00143;	&#323;	LATIN CAPITAL LETTER N WITH ACUTE
ń	&nacute;	&#x00144;	&#324;	LATIN SMALL LETTER N WITH ACUTE
Ņ	&Ncedil;	&#x00145;	&#325;	LATIN CAPITAL LETTER N WITH CEDILLA
ņ	&ncedil;	&#x00146;	&#326;	LATIN SMALL LETTER N WITH CEDILLA
Ň	&Ncaron;	&#x00147;	&#327;	LATIN CAPITAL LETTER N WITH CARON
ň	&ncaron;	&#x00148;	&#328;	LATIN SMALL LETTER N WITH CARON
ŉ	&napos;	&#x00149;	&#329;	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
Ŋ	&ENG;	&#x0014A;	&#330;	LATIN CAPITAL LETTER ENG
ŋ	&eng;	&#x0014B;	&#331;	LATIN SMALL LETTER ENG
Ō	&Omacr;	&#x0014C;	&#332;	LATIN CAPITAL LETTER O WITH MACRON
ō	&omacr;	&#x0014D;	&#333;	LATIN SMALL LETTER O WITH MACRON
Ő	&Odblac;	&#x00150;	&#336;	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
ő	&odblac;	&#x00151;	&#337;	LATIN SMALL LETTER O WITH DOUBLE ACUTE
Œ	&OElig;	&#x00152;	&#338;	LATIN CAPITAL LIGATURE OE
œ	&oelig;	&#x00153;	&#339;	LATIN SMALL LIGATURE OE
Ŕ	&Racute;	&#x00154;	&#340;	LATIN CAPITAL LETTER R WITH ACUTE
ŕ	&racute;	&#x00155;	&#341;	LATIN SMALL LETTER R WITH ACUTE
Ŗ	&Rcedil;	&#x00156;	&#342;	LATIN CAPITAL LETTER R WITH CEDILLA
ŗ	&rcedil;	&#x00157;	&#343;	LATIN SMALL LETTER R WITH CEDILLA
Ř	&Rcaron;	&#x00158;	&#344;	LATIN CAPITAL LETTER R WITH CARON
ř	&rcaron;	&#x00159;	&#345;	LATIN SMALL LETTER R WITH CARON
Ś	&Sacute;	&#x0015A;	&#346;	LATIN CAPITAL LETTER S WITH ACUTE
ś	&sacute;	&#x0015B;	&#347;	LATIN SMALL LETTER S WITH ACUTE
Ŝ	&Scirc;	&#x0015C;	&#348;	LATIN CAPITAL LETTER S WITH CIRCUMFLEX
ŝ	&scirc;	&#x0015D;	&#349;	LATIN SMALL LETTER S WITH CIRCUMFLEX
Ş	&Scedil;	&#x0015E;	&#350;	LATIN CAPITAL LETTER S WITH CEDILLA
ş	&scedil;	&#x0015F;	&#351;	LATIN SMALL LETTER S WITH CEDILLA
Š	&Scaron;	&#x00160;	&#352;	LATIN CAPITAL LETTER S WITH CARON
š	&scaron;	&#x00161;	&#353;	LATIN SMALL LETTER S WITH CARON
Ţ	&Tcedil;	&#x00162;	&#354;	LATIN CAPITAL LETTER T WITH CEDILLA
ţ	&tcedil;	&#x00163;	&#355;	LATIN SMALL LETTER T WITH CEDILLA
Ť	&Tcaron;	&#x00164;	&#356;	LATIN CAPITAL LETTER T WITH CARON
ť	&tcaron;	&#x00165;	&#357;	LATIN SMALL LETTER T WITH CARON
Ŧ	&Tstrok;	&#x00166;	&#358;	LATIN CAPITAL LETTER T WITH STROKE
ŧ	&tstrok;	&#x00167;	&#359;	LATIN SMALL LETTER T WITH STROKE
Ũ	&Utilde;	&#x00168;	&#360;	LATIN CAPITAL LETTER U WITH TILDE
ũ	&utilde;	&#x00169;	&#361;	LATIN SMALL LETTER U WITH TILDE
Ū	&Umacr;	&#x0016A;	&#362;	LATIN CAPITAL LETTER U WITH MACRON
ū	&umacr;	&#x0016B;	&#363;	LATIN SMALL LETTER U WITH MACRON
Ŭ	&Ubreve;	&#x0016C;	&#364;	LATIN CAPITAL LETTER U WITH BREVE
ŭ	&ubreve;	&#x0016D;	&#365;	LATIN SMALL LETTER U WITH BREVE
Ů	&Uring;	&#x0016E;	&#366;	LATIN CAPITAL LETTER U WITH RING ABOVE
ů	&uring;	&#x0016F;	&#367;	LATIN SMALL LETTER U WITH RING ABOVE
Ű	&Udblac;	&#x00170;	&#368;	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
ű	&udblac;	&#x00171;	&#369;	LATIN SMALL LETTER U WITH DOUBLE ACUTE
Ų	&Uogon;	&#x00172;	&#370;	LATIN CAPITAL LETTER U WITH OGONEK
ų	&uogon;	&#x00173;	&#371;	LATIN SMALL LETTER U WITH OGONEK
Ŵ	&Wcirc;	&#x00174;	&#372;	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
ŵ	&wcirc;	&#x00175;	&#373;	LATIN SMALL LETTER W WITH CIRCUMFLEX
Ŷ	&Ycirc;	&#x00176;	&#374;	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
ŷ	&ycirc;	&#x00177;	&#375;	LATIN SMALL LETTER Y WITH CIRCUMFLEX
Ÿ	&Yuml;	&#x00178;	&#376;	LATIN CAPITAL LETTER Y WITH DIAERESIS
Ź	&Zacute;	&#x00179;	&#377;	LATIN CAPITAL LETTER Z WITH ACUTE
ź	&zacute;	&#x0017A;	&#378;	LATIN SMALL LETTER Z WITH ACUTE
Ż	&Zdot;	&#x0017B;	&#379;	LATIN CAPITAL LETTER Z WITH DOT ABOVE
ż	&zdot;	&#x0017C;	&#380;	LATIN SMALL LETTER Z WITH DOT ABOVE
Ž	&Zcaron;	&#x0017D;	&#381;	LATIN CAPITAL LETTER Z WITH CARON
ž	&zcaron;	&#x0017E;	&#382;	LATIN SMALL LETTER Z WITH CARON
ƒ	&fnof;	&#x00192;	&#402;	LATIN SMALL LETTER F WITH HOOK
Ƶ	&imped;	&#x001B5;	&#437;	LATIN CAPITAL LETTER Z WITH STROKE
ǵ	&gacute;	&#x001F5;	&#501;	LATIN SMALL LETTER G WITH ACUTE
ȷ	&jmath;	&#x00237;	&#567;	LATIN SMALL LETTER DOTLESS J
ˆ	â	&#x002C6;	&#710;	MODIFIER LETTER CIRCUMFLEX ACCENT
ˇ	&caron; &Hacek;	&#x002C7;	&#711;	CARON
˘	ă &Breve;	&#x002D8;	&#728;	BREVE
˙	&dot; &DiacriticalDot;	&#x002D9;	&#729;	DOT ABOVE
˚	å	&#x002DA;	&#730;	RING ABOVE
˛	ą	&#x002DB;	&#731;	OGONEK
˜	ã &DiacriticalTilde;	&#x002DC;	&#732;	SMALL TILDE
˝	&dblac; &DiacriticalDoubleAcute;	&#x002DD;	&#733;	DOUBLE ACUTE ACCENT
̑	&DownBreve;	&#x00311;	&#785;	COMBINING INVERTED BREVE
̲	&UnderBar;	&#x00332;	&#818;	COMBINING LOW LINE
Α	&Alpha;	&#x00391;	&#913;	GREEK CAPITAL LETTER ALPHA
Β	&Beta;	&#x00392;	&#914;	GREEK CAPITAL LETTER BETA
Γ	&Gamma;	&#x00393;	&#915;	GREEK CAPITAL LETTER GAMMA
Δ	&Delta;	&#x00394;	&#916;	GREEK CAPITAL LETTER DELTA
Ε	&Epsilon;	&#x00395;	&#917;	GREEK CAPITAL LETTER EPSILON
Ζ	&Zeta;	&#x00396;	&#918;	GREEK CAPITAL LETTER ZETA
Η	&Eta;	&#x00397;	&#919;	GREEK CAPITAL LETTER ETA
Θ	&Theta;	&#x00398;	&#920;	GREEK CAPITAL LETTER THETA
Ι	&Iota;	&#x00399;	&#921;	GREEK CAPITAL LETTER IOTA
Κ	&Kappa;	&#x0039A;	&#922;	GREEK CAPITAL LETTER KAPPA
Λ	&Lambda;	&#x0039B;	&#923;	GREEK CAPITAL LETTER LAMDA
Μ	&Mu;	&#x0039C;	&#924;	GREEK CAPITAL LETTER MU
Ν	&Nu;	&#x0039D;	&#925;	GREEK CAPITAL LETTER NU
Ξ	&Xi;	&#x0039E;	&#926;	GREEK CAPITAL LETTER XI
Ο	&Omicron;	&#x0039F;	&#927;	GREEK CAPITAL LETTER OMICRON
Π	&Pi;	&#x003A0;	&#928;	GREEK CAPITAL LETTER PI
Ρ	&Rho;	&#x003A1;	&#929;	GREEK CAPITAL LETTER RHO
Σ	&Sigma;	&#x003A3;	&#931;	GREEK CAPITAL LETTER SIGMA
Τ	&Tau;	&#x003A4;	&#932;	GREEK CAPITAL LETTER TAU
Υ	&Upsilon;	&#x003A5;	&#933;	GREEK CAPITAL LETTER UPSILON
Φ	&Phi;	&#x003A6;	&#934;	GREEK CAPITAL LETTER PHI
Χ	&Chi;	&#x003A7;	&#935;	GREEK CAPITAL LETTER CHI
Ψ	&Psi;	&#x003A8;	&#936;	GREEK CAPITAL LETTER PSI
Ω	&Omega;	&#x003A9;	&#937;	GREEK CAPITAL LETTER OMEGA
α	&alpha;	&#x003B1;	&#945;	GREEK SMALL LETTER ALPHA
β	&beta;	&#x003B2;	&#946;	GREEK SMALL LETTER BETA
γ	&gamma;	&#x003B3;	&#947;	GREEK SMALL LETTER GAMMA
δ	&delta;	&#x003B4;	&#948;	GREEK SMALL LETTER DELTA
ε	&epsiv; &varepsilon; &epsilon;	&#x003B5;	&#949;	GREEK SMALL LETTER EPSILON
ζ	&zeta;	&#x003B6;	&#950;	GREEK SMALL LETTER ZETA
η	&eta;	&#x003B7;	&#951;	GREEK SMALL LETTER ETA
θ	&theta;	&#x003B8;	&#952;	GREEK SMALL LETTER THETA
ι	&iota;	&#x003B9;	&#953;	GREEK SMALL LETTER IOTA
κ	&kappa;	&#x003BA;	&#954;	GREEK SMALL LETTER KAPPA
λ	&lambda;	&#x003BB;	&#955;	GREEK SMALL LETTER LAMDA
μ	&mu;	&#x003BC;	&#956;	GREEK SMALL LETTER MU
ν	&nu;	&#x003BD;	&#957;	GREEK SMALL LETTER NU
ξ	&xi;	&#x003BE;	&#958;	GREEK SMALL LETTER XI
ο	&omicron;	&#x003BF;	&#959;	GREEK SMALL LETTER OMICRON
π	&pi;	&#x003C0;	&#960;	GREEK SMALL LETTER PI
ρ	&rho;	&#x003C1;	&#961;	GREEK SMALL LETTER RHO
ς	&sigmav; &varsigma; &sigmaf;	&#x003C2;	&#962;	GREEK SMALL LETTER FINAL SIGMA
σ	&sigma;	&#x003C3;	&#963;	GREEK SMALL LETTER SIGMA
τ	&tau;	&#x003C4;	&#964;	GREEK SMALL LETTER TAU
υ	&upsi; &upsilon;	&#x003C5;	&#965;	GREEK SMALL LETTER UPSILON
φ	&phi; &phiv; &varphi;	&#x003C6;	&#966;	GREEK SMALL LETTER PHI
χ	&chi;	&#x003C7;	&#967;	GREEK SMALL LETTER CHI
ψ	&psi;	&#x003C8;	&#968;	GREEK SMALL LETTER PSI
ω	&omega;	&#x003C9;	&#969;	GREEK SMALL LETTER OMEGA
ϑ	&thetav; &vartheta; &thetasym;	&#x003D1;	&#977;	GREEK THETA SYMBOL
ϒ	&Upsi; &upsih;	&#x003D2;	&#978;	GREEK UPSILON WITH HOOK SYMBOL
ϕ	&straightphi;	&#x003D5;	&#981;	GREEK PHI SYMBOL
ϖ	&piv; &varpi;	&#x003D6;	&#982;	GREEK PI SYMBOL
Ϝ	&Gammad;	&#x003DC;	&#988;	GREEK LETTER DIGAMMA
ϝ	&gammad; &digamma;	&#x003DD;	&#989;	GREEK SMALL LETTER DIGAMMA
ϰ	&kappav; &varkappa;	&#x003F0;	&#1008;	GREEK KAPPA SYMBOL
ϱ	&rhov; &varrho;	&#x003F1;	&#1009;	GREEK RHO SYMBOL
ϵ	&epsi; &straightepsilon;	&#x003F5;	&#1013;	GREEK LUNATE EPSILON SYMBOL
϶	&bepsi; &backepsilon;	&#x003F6;	&#1014;	GREEK REVERSED LUNATE EPSILON SYMBOL
Ё	&IOcy;	&#x00401;	&#1025;	CYRILLIC CAPITAL LETTER IO
Ђ	&DJcy;	&#x00402;	&#1026;	CYRILLIC CAPITAL LETTER DJE
Ѓ	&GJcy;	&#x00403;	&#1027;	CYRILLIC CAPITAL LETTER GJE
Є	&Jukcy;	&#x00404;	&#1028;	CYRILLIC CAPITAL LETTER UKRAINIAN IE
Ѕ	&DScy;	&#x00405;	&#1029;	CYRILLIC CAPITAL LETTER DZE
І	&Iukcy;	&#x00406;	&#1030;	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
Ї	&YIcy;	&#x00407;	&#1031;	CYRILLIC CAPITAL LETTER YI
Ј	&Jsercy;	&#x00408;	&#1032;	CYRILLIC CAPITAL LETTER JE
Љ	&LJcy;	&#x00409;	&#1033;	CYRILLIC CAPITAL LETTER LJE
Њ	&NJcy;	&#x0040A;	&#1034;	CYRILLIC CAPITAL LETTER NJE
Ћ	&TSHcy;	&#x0040B;	&#1035;	CYRILLIC CAPITAL LETTER TSHE
Ќ	&KJcy;	&#x0040C;	&#1036;	CYRILLIC CAPITAL LETTER KJE
Ў	&Ubrcy;	&#x0040E;	&#1038;	CYRILLIC CAPITAL LETTER SHORT U
Џ	&DZcy;	&#x0040F;	&#1039;	CYRILLIC CAPITAL LETTER DZHE
А	&Acy;	&#x00410;	&#1040;	CYRILLIC CAPITAL LETTER A
Б	&Bcy;	&#x00411;	&#1041;	CYRILLIC CAPITAL LETTER BE
В	&Vcy;	&#x00412;	&#1042;	CYRILLIC CAPITAL LETTER VE
Г	&Gcy;	&#x00413;	&#1043;	CYRILLIC CAPITAL LETTER GHE
Д	&Dcy;	&#x00414;	&#1044;	CYRILLIC CAPITAL LETTER DE
Е	&IEcy;	&#x00415;	&#1045;	CYRILLIC CAPITAL LETTER IE
Ж	&ZHcy;	&#x00416;	&#1046;	CYRILLIC CAPITAL LETTER ZHE
З	&Zcy;	&#x00417;	&#1047;	CYRILLIC CAPITAL LETTER ZE
И	&Icy;	&#x00418;	&#1048;	CYRILLIC CAPITAL LETTER I
Й	&Jcy;	&#x00419;	&#1049;	CYRILLIC CAPITAL LETTER SHORT I
К	&Kcy;	&#x0041A;	&#1050;	CYRILLIC CAPITAL LETTER KA
Л	&Lcy;	&#x0041B;	&#1051;	CYRILLIC CAPITAL LETTER EL
