¡	&iexcl;	&#x000A1;	&#161;	INVERTED EXCLAMATION MARK
≐	&esdot; &DotEqual; &doteq;	&#x02250;	&#8784;	APPROACHES THE LIMIT
≑	&eDot; &doteqdot;	&#x02251;	&#8785;	GEOMETRICALLY EQUAL TO
≒	&efDot; &fallingdotseq;	&#x02252;	&#8786;	APPROXIMATELY EQUAL TO OR THE IMAGE OF
≓	&erDot; &risingdotseq;	&#x02253;	&#8787;	IMAGE OF OR APPROXIMATELY EQUAL TO
≔	&colone; &coloneq; &Assign;	&#x02254;	&#8788;	COLON EQUALS
≕	&ecolon; &eqcolon;	&#x02255;	&#8789;	EQUALS COLON
≖	&ecir; &eqcirc;	&#x02256;	&#8790;	RING IN EQUAL TO
≗	&cire; &circeq;	&#x02257;	&#8791;	RING EQUAL TO
≙	&wedgeq;	&#x02259;	&#8793;	ESTIMATES
≚	&veeeq;	&#x0225A;	&#8794;	EQUIANGULAR TO
≜	&trie; &triangleq;	&#x0225C;	&#8796;	DELTA EQUAL TO
≟	&equest; &questeq;	&#x0225F;	&#8799;	QUESTIONED EQUAL TO
≠	&ne; &NotEqual;	&#x02260;	&#8800;	NOT EQUAL TO
≡	&equiv; &Congruent;	&#x02261;	&#8801;	IDENTICAL TO
≢	&nequiv; &NotCongruent;	&#x02262;	&#8802;	NOT IDENTICAL TO
≤	&le; &leq;	&#x02264;	&#8804;	LESS-THAN OR EQUAL TO
≥	&ge; &GreaterEqual; &geq;	&#x02265;	&#8805;	GREATER-THAN OR EQUAL TO
≦	&lE; &LessFullEqual; &leqq;	&#x02266;	&#8806;	LESS-THAN OVER EQUAL TO
≧	&gE; &GreaterFullEqual; &geqq;	&#x02267;	&#8807;	GREATER-THAN OVER EQUAL TO
≨	&lnE; &lneqq;	&#x02268;	&#8808;	LESS-THAN BUT NOT EQUAL TO
≩	&gnE; &gneqq;	&#x02269;	&#8809;	GREATER-THAN BUT NOT EQUAL TO
≪	&Lt; &NestedLessLess; &ll;	&#x0226A;	&#8810;	MUCH LESS-THAN
≫	&Gt; &NestedGreaterGreater; &gg;	&#x0226B;	&#8811;	MUCH GREATER-THAN
≬	&twixt; &between;	&#x0226C;	&#8812;	BETWEEN
≭	&NotCupCap;	&#x0226D;	&#8813;	NOT EQUIVALENT TO
≮	&nlt; &NotLess; &nless;	&#x0226E;	&#8814;	NOT LESS-THAN
≯	&ngt; &NotGreater; &ngtr;	&#x0226F;	&#8815;	NOT GREATER-THAN
≰	&nle; &NotLessEqual; &nleq;	&#x02270;	&#8816;	NEITHER LESS-THAN NOR EQUAL TO
≱	⦤ &NotGreaterEqual; &ngeq;	&#x02271;	&#8817;	NEITHER GREATER-THAN NOR EQUAL TO
≲	&lsim; &LessTilde; &lesssim;	&#x02272;	&#8818;	LESS-THAN OR EQUIVALENT TO
≳	&gsim; &gtrsim; &GreaterTilde;	&#x02273;	&#8819;	GREATER-THAN OR EQUIVALENT TO
≴	&nlsim; &NotLessTilde;	&#x02274;	&#8820;	NEITHER LESS-THAN NOR EQUIVALENT TO
≵	&ngsim; &NotGreaterTilde;	&#x02275;	&#8821;	NEITHER GREATER-THAN NOR EQUIVALENT TO
≶	&lg; &lessgtr; &LessGreater;	&#x02276;	&#8822;	LESS-THAN OR GREATER-THAN
≷	&gl; &gtrless; &GreaterLess;	&#x02277;	&#8823;	GREATER-THAN OR LESS-THAN
≸	&ntlg; &NotLessGreater;	&#x02278;	&#8824;	NEITHER LESS-THAN NOR GREATER-THAN
≹	&ntgl; &NotGreaterLess;	&#x02279;	&#8825;	NEITHER GREATER-THAN NOR LESS-THAN
≺	&pr; &Precedes; &prec;	&#x0227A;	&#8826;	PRECEDES
≻	&sc; &Succeeds; &succ;	&#x0227B;	&#8827;	SUCCEEDS
≼	&prcue; &PrecedesSlantEqual; &preccurlyeq;	&#x0227C;	&#8828;	PRECEDES OR EQUAL TO
≽	&sccue; &SucceedsSlantEqual; &succcurlyeq;	&#x0227D;	&#8829;	SUCCEEDS OR EQUAL TO
≾	&prsim; &precsim; &PrecedesTilde;	&#x0227E;	&#8830;	PRECEDES OR EQUIVALENT TO
≿	&scsim; &succsim; &SucceedsTilde;	&#x0227F;	&#8831;	SUCCEEDS OR EQUIVALENT TO
⊀	&npr; &nprec; &NotPrecedes;	&#x02280;	&#8832;	DOES NOT PRECEDE
⊁	&nsc; &nsucc; &NotSucceeds;	&#x02281;	&#8833;	DOES NOT SUCCEED
⊂	&sub; &subset;	&#x02282;	&#8834;	SUBSET OF
⊃	&sup; &supset; &Superset;	&#x02283;	&#8835;	SUPERSET OF
⊄	&nsub;	&#x02284;	&#8836;	NOT A SUBSET OF
⊅	&nsup;	&#x02285;	&#8837;	NOT A SUPERSET OF
⊆	&sube; &SubsetEqual; &subseteq;	&#x02286;	&#8838;	SUBSET OF OR EQUAL TO
⊇	&supe; &supseteq; &SupersetEqual;	&#x02287;	&#8839;	SUPERSET OF OR EQUAL TO
⊈	&nsube; &nsubseteq; &NotSubsetEqual;	&#x02288;	&#8840;	NEITHER A SUBSET OF NOR EQUAL TO
⊉	&nsupe; &nsupseteq; &NotSupersetEqual;	&#x02289;	&#8841;	NEITHER A SUPERSET OF NOR EQUAL TO
⊊	&subne; &subsetneq;	&#x0228A;	&#8842;	SUBSET OF WITH NOT EQUAL TO
⊋	&supne; &supsetneq;	&#x0228B;	&#8843;	SUPERSET OF WITH NOT EQUAL TO
⊍	&cupdot;	&#x0228D;	&#8845;	MULTISET MULTIPLICATION
⊎	&uplus; &UnionPlus;	&#x0228E;	&#8846;	MULTISET UNION
⊏	&sqsub; &SquareSubset; &sqsubset;	&#x0228F;	&#8847;	SQUARE IMAGE OF
⊐	&sqsup; &SquareSuperset; &sqsupset;	&#x02290;	&#8848;	SQUARE ORIGINAL OF
⊑	&sqsube; &SquareSubsetEqual; &sqsubseteq;	&#x02291;	&#8849;	SQUARE IMAGE OF OR EQUAL TO
⊒	&sqsupe; &SquareSupersetEqual; &sqsupseteq;	&#x02292;	&#8850;	SQUARE ORIGINAL OF OR EQUAL TO
⊓	&sqcap; &SquareIntersection;	&#x02293;	&#8851;	SQUARE CAP
⊔	&sqcup; &SquareUnion;	&#x02294;	&#8852;	SQUARE CUP
⊕	&oplus; &CirclePlus;	&#x02295;	&#8853;	CIRCLED PLUS
⊖	&ominus; &CircleMinus;	&#x02296;	&#8854;	CIRCLED MINUS
⊗	&otimes; &CircleTimes;	&#x02297;	&#8855;	CIRCLED TIMES
⊘	&osol;	&#x02298;	&#8856;	CIRCLED DIVISION SLASH
⊙	&odot; &CircleDot;	&#x02299;	&#8857;	CIRCLED DOT OPERATOR
⊚	&ocir; &circledcirc;	&#x0229A;	&#8858;	CIRCLED RING OPERATOR
⊛	&oast; &circledast;	&#x0229B;	&#8859;	CIRCLED ASTERISK OPERATOR
⊝	&odash; &circleddash;	&#x0229D;	&#8861;	CIRCLED DASH
⊞	&plusb; &boxplus;	&#x0229E;	&#8862;	SQUARED PLUS
⊟	&minusb; &boxminus;	&#x0229F;	&#8863;	SQUARED MINUS
⊠	&timesb; &boxtimes;	&#x022A0;	&#8864;	SQUARED TIMES
⊡	&sdotb; &dotsquare;	&#x022A1;	&#8865;	SQUARED DOT OPERATOR
⊢	&vdash; &RightTee;	&#x022A2;	&#8866;	RIGHT TACK
⊣	&dashv; &LeftTee;	&#x022A3;	&#8867;	LEFT TACK
⊤	&top; &DownTee;	&#x022A4;	&#8868;	DOWN TACK
⊥	&bottom; &bot; &perp; &UpTee;	&#x022A5;	&#8869;	UP TACK
⊧	&models;	&#x022A7;	&#8871;	MODELS
⊨	&vDash; &DoubleRightTee;	&#x022A8;	&#8872;	TRUE
⊩	&Vdash;	&#x022A9;	&#8873;	FORCES
⊪	&Vvdash;	&#x022AA;	&#8874;	TRIPLE VERTICAL BAR RIGHT TURNSTILE
⊫	&VDash;	&#x022AB;	&#8875;	DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
⊬	&nvdash;	&#x022AC;	&#8876;	DOES NOT PROVE
⊭	&nvDash;	&#x022AD;	&#8877;	NOT TRUE
⊮	&nVdash;	&#x022AE;	&#8878;	DOES NOT FORCE
⊯	&nVDash;	&#x022AF;	&#8879;	NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
⊰	&prurel;	&#x022B0;	&#8880;	PRECEDES UNDER RELATION
⊲	&vltri; &vartriangleleft; &LeftTriangle;	&#x022B2;	&#8882;	NORMAL SUBGROUP OF
⊳	&vrtri; &vartriangleright; &RightTriangle;	&#x022B3;	&#8883;	CONTAINS AS NORMAL SUBGROUP
⊴	&ltrie; &trianglelefteq; &LeftTriangleEqual;	&#x022B4;	&#8884;	NORMAL SUBGROUP OF OR EQUAL TO
⊵	&rtrie; &trianglerighteq; &RightTriangleEqual;	&#x022B5;	&#8885;	CONTAINS AS NORMAL SUBGROUP OR EQUAL TO
⊶	&origof;	&#x022B6;	&#8886;	ORIGINAL OF
⊷	&imof;	&#x022B7;	&#8887;	IMAGE OF
⊸	&mumap; &multimap;	&#x022B8;	&#8888;	MULTIMAP
⊹	&hercon;	&#x022B9;	&#8889;	HERMITIAN CONJUGATE MATRIX
⊺	&intcal; &intercal;	&#x022BA;	&#8890;	INTERCALATE
⊻	&veebar;	&#x022BB;	&#8891;	XOR
⊽	&barvee;	&#x022BD;	&#8893;	NOR
⊾	&angrtvb;	&#x022BE;	&#8894;	RIGHT ANGLE WITH ARC
⊿	&lrtri;	&#x022BF;	&#8895;	RIGHT TRIANGLE
⋀	&xwedge; &Wedge; &bigwedge;	&#x022C0;	&#8896;	N-ARY LOGICAL AND
⋁	&xvee; &Vee; &bigvee;	&#x022C1;	&#8897;	N-ARY LOGICAL OR
⋂	&xcap; &Intersection; &bigcap;	&#x022C2;	&#8898;	N-ARY INTERSECTION
⋃	&xcup; &Union; &bigcup;	&#x022C3;	&#8899;	N-ARY UNION
⋄	&diam; &diamond; &Diamond;	&#x022C4;	&#8900;	DIAMOND OPERATOR
⋅	&sdot;	&#x022C5;	&#8901;	DOT OPERATOR
⋆	&sstarf; &Star;	&#x022C6;	&#8902;	STAR OPERATOR
⋇	&divonx; &divideontimes;	&#x022C7;	&#8903;	DIVISION TIMES
⋈	&bowtie;	&#x022C8;	&#8904;	BOWTIE
⋉	&ltimes;	&#x022C9;	&#8905;	LEFT NORMAL FACTOR SEMIDIRECT PRODUCT
⋊	&rtimes;	&#x022CA;	&#8906;	RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT
⋋	&lthree; &leftthreetimes;	&#x022CB;	&#8907;	LEFT SEMIDIRECT PRODUCT
⋌	&rthree; &rightthreetimes;	&#x022CC;	&#8908;	RIGHT SEMIDIRECT PRODUCT
⋍	&bsime; &backsimeq;	&#x022CD;	&#8909;	REVERSED TILDE EQUALS
⋎	&cuvee; &curlyvee;	&#x022CE;	&#8910;	CURLY LOGICAL OR
⋏	&cuwed; &curlywedge;	&#x022CF;	&#8911;	CURLY LOGICAL AND
⋐	&Sub; &Subset;	&#x022D0;	&#8912;	DOUBLE SUBSET
⋑	&Sup; &Supset;	&#x022D1;	&#8913;	DOUBLE SUPERSET
⋒	&Cap;	&#x022D2;	&#8914;	DOUBLE INTERSECTION
⋓	&Cup;	&#x022D3;	&#8915;	DOUBLE UNION
⋔	&fork; &pitchfork;	&#x022D4;	&#8916;	PITCHFORK
⋕	&epar;	&#x022D5;	&#8917;	EQUAL AND PARALLEL TO
⋖	&ltdot; &lessdot;	&#x022D6;	&#8918;	LESS-THAN WITH DOT
⋗	&gtdot; &gtrdot;	&#x022D7;	&#8919;	GREATER-THAN WITH DOT
⋘	&Ll;	&#x022D8;	&#8920;	VERY MUCH LESS-THAN
⋙	&Gg; &ggg;	&#x022D9;	&#8921;	VERY MUCH GREATER-THAN
⋚	&leg; &LessEqualGreater; &lesseqgtr;	&#x022DA;	&#8922;	LESS-THAN EQUAL TO OR GREATER-THAN
⋛	&gel; &gtreqless; &GreaterEqualLess;	&#x022DB;	&#8923;	GREATER-THAN EQUAL TO OR LESS-THAN
⋞	&cuepr; &curlyeqprec;	&#x022DE;	&#8926;	EQUAL TO OR PRECEDES
⋟	&cuesc; &curlyeqsucc;	&#x022DF;	&#8927;	EQUAL TO OR SUCCEEDS
⋠	&nprcue; &NotPrecedesSlantEqual;	&#x022E0;	&#8928;	DOES NOT PRECEDE OR EQUAL
⋡	&nsccue; &NotSucceedsSlantEqual;	&#x022E1;	&#8929;	DOES NOT SUCCEED OR EQUAL
⋢	&nsqsube; &NotSquareSubsetEqual;	&#x022E2;	&#8930;	NOT SQUARE IMAGE OF OR EQUAL TO
⋣	&nsqsupe; &NotSquareSupersetEqual;	&#x022E3;	&#8931;	NOT SQUARE ORIGINAL OF OR EQUAL TO
⋦	&lnsim;	&#x022E6;	&#8934;	LESS-THAN BUT NOT EQUIVALENT TO
⋧	&gnsim;	&#x022E7;	&#8935;	GREATER-THAN BUT NOT EQUIVALENT TO
⋨	&prnsim; &precnsim;	&#x022E8;	&#8936;	PRECEDES BUT NOT EQUIVALENT TO
⋩	&scnsim; &succnsim;	&#x022E9;	&#8937;	SUCCEEDS BUT NOT EQUIVALENT TO
⋪	&nltri; &ntriangleleft; &NotLeftTriangle;	&#x022EA;	&#8938;	NOT NORMAL SUBGROUP OF
⋫	&nrtri; &ntriangleright; &NotRightTriangle;	&#x022EB;	&#8939;	DOES NOT CONTAIN AS NORMAL SUBGROUP
⋬	&nltrie; &ntrianglelefteq; &NotLeftTriangleEqual;	&#x022EC;	&#8940;	NOT NORMAL SUBGROUP OF OR EQUAL TO
⋭	&nrtrie; &ntrianglerighteq; &NotRightTriangleEqual;	&#x022ED;	&#8941;	DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL
⋮	&vellip;	&#x022EE;	&#8942;	VERTICAL ELLIPSIS
⋯	&ctdot;	&#x022EF;	&#8943;	MIDLINE HORIZONTAL ELLIPSIS
⋰	&utdot;	&#x022F0;	&#8944;	UP RIGHT DIAGONAL ELLIPSIS
⋱	&dtdot;	&#x022F1;	&#8945;	DOWN RIGHT DIAGONAL ELLIPSIS
⋲	&disin;	&#x022F2;	&#8946;	ELEMENT OF WITH LONG HORIZONTAL STROKE
⋳	&isinsv;	&#x022F3;	&#8947;	ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
⋴	&isins;	&#x022F4;	&#8948;	SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
⋵	&isindot;	&#x022F5;	&#8949;	ELEMENT OF WITH DOT ABOVE
⋶	&notinvc;	&#x022F6;	&#8950;	ELEMENT OF WITH OVERBAR
⋷	&notinvb;	&#x022F7;	&#8951;	SMALL ELEMENT OF WITH OVERBAR
⋹	&isinE;	&#x022F9;	&#8953;	ELEMENT OF WITH TWO HORIZONTAL STROKES
⋺	&nisd;	&#x022FA;	&#8954;	CONTAINS WITH LONG HORIZONTAL STROKE
⋻	&xnis;	&#x022FB;	&#8955;	CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
⋼	&nis;	&#x022FC;	&#8956;	SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
⋽	&notnivc;	&#x022FD;	&#8957;	CONTAINS WITH OVERBAR
⋾	&notnivb;	&#x022FE;	&#8958;	SMALL CONTAINS WITH OVERBAR
⌅	&barwed; &barwedge;	&#x02305;	&#8965;	PROJECTIVE
⌆	&Barwed; &doublebarwedge;	&#x02306;	&#8966;	PERSPECTIVE
⌈	&lceil; &LeftCeiling;	&#x02308;	&#8968;	LEFT CEILING
⌉	&rceil; &RightCeiling;	&#x02309;	&#8969;	RIGHT CEILING
⌊	&lfloor; &LeftFloor;	&#x0230A;	&#8970;	LEFT FLOOR
⌋	&rfloor; &RightFloor;	&#x0230B;	&#8971;	RIGHT FLOOR
⌌	&drcrop;	&#x0230C;	&#8972;	BOTTOM RIGHT CROP
⌍	&dlcrop;	&#x0230D;	&#8973;	BOTTOM LEFT CROP
⌎	&urcrop;	&#x0230E;	&#8974;	TOP RIGHT CROP
⌏	&ulcrop;	&#x0230F;	&#8975;	TOP LEFT CROP
⌐	&bnot;	&#x02310;	&#8976;	REVERSED NOT SIGN
⌒	&profline;	&#x02312;	&#8978;	ARC
⌓	&profsurf;	&#x02313;	&#8979;	SEGMENT
⌕	&telrec;	&#x02315;	&#8981;	TELEPHONE RECORDER
⌖	&target;	&#x02316;	&#8982;	POSITION INDICATOR
⌜	&ulcorn; &ulcorner;	&#x0231C;	&#8988;	TOP LEFT CORNER
⌝	&urcorn; &urcorner;	&#x0231D;	&#8989;	TOP RIGHT CORNER
⌞	&dlcorn; &llcorner;	&#x0231E;	&#8990;	BOTTOM LEFT CORNER
⌟	&drcorn; &lrcorner;	&#x0231F;	&#8991;	BOTTOM RIGHT CORNER
⌢	&frown; &sfrown;	&#x02322;	&#8994;	FROWN
⌣	&smile; &ssmile;	&#x02323;	&#8995;	SMILE
⌭	&cylcty;	&#x0232D;	&#9005;	CYLINDRICITY
⌮	&profalar;	&#x0232E;	&#9006;	ALL AROUND-PROFILE
⌶	&topbot;	&#x02336;	&#9014;	APL FUNCTIONAL SYMBOL I-BEAM
⌽	&ovbar;	&#x0233D;	&#9021;	APL FUNCTIONAL SYMBOL CIRCLE STILE
⌿	&solbar;	&#x0233F;	&#9023;	APL FUNCTIONAL SYMBOL SLASH BAR
⍼	&angzarr;	&#x0237C;	&#9084;	RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW
⎰	&lmoust; &lmoustache;	&#x023B0;	&#9136;	UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION
⎱	&rmoust; &rmoustache;	&#x023B1;	&#9137;	UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION
⎴	&tbrk; &OverBracket;	&#x023B4;	&#9140;	TOP SQUARE BRACKET
⎵	&bbrk; &UnderBracket;	&#x023B5;	&#9141;	BOTTOM SQUARE BRACKET
⎶	&bbrktbrk;	&#x023B6;	&#9142;	BOTTOM SQUARE BRACKET OVER TOP SQUARE BRACKET
⏜	&OverParenthesis;	&#x023DC;	&#9180;	TOP PARENTHESIS
⏝	&UnderParenthesis;	&#x023DD;	&#9181;	BOTTOM PARENTHESIS
⏞	&OverBrace;	&#x023DE;	&#9182;	TOP CURLY BRACKET
⏟	&UnderBrace;	&#x023DF;	&#9183;	BOTTOM CURLY BRACKET
⏢	&trpezium;	&#x023E2;	&#9186;	WHITE TRAPEZIUM
⏧	&elinters;	&#x023E7;	&#9191;	ELECTRICAL INTERSECTION
␣	&blank;	&#x02423;	&#9251;	OPEN BOX
Ⓢ	&oS; &circledS;	&#x024C8;	&#9416;	CIRCLED LATIN CAPITAL LETTER S
─	&boxh; &HorizontalLine;	&#x02500;	&#9472;	BOX DRAWINGS LIGHT HORIZONTAL
│	&boxv;	&#x02502;	&#9474;	BOX DRAWINGS LIGHT VERTICAL
┌	&boxdr;	&#x0250C;	&#9484;	BOX DRAWINGS LIGHT DOWN AND RIGHT
┐	&boxdl;	&#x02510;	&#9488;	BOX DRAWINGS LIGHT DOWN AND LEFT
└	&boxur;	&#x02514;	&#9492;	BOX DRAWINGS LIGHT UP AND RIGHT
┘	&boxul;	&#x02518;	&#9496;	BOX DRAWINGS LIGHT UP AND LEFT
├	&boxvr;	&#x0251C;	&#9500;	BOX DRAWINGS LIGHT VERTICAL AND RIGHT
┤	&boxvl;	&#x02524;	&#9508;	BOX DRAWINGS LIGHT VERTICAL AND LEFT
┬	&boxhd;	&#x0252C;	&#9516;	BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
┴	&boxhu;	&#x02534;	&#9524;	BOX DRAWINGS LIGHT UP AND HORIZONTAL
┼	&boxvh;	&#x0253C;	&#9532;	BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
═	&boxH;	&#x02550;	&#9552;	BOX DRAWINGS DOUBLE HORIZONTAL
║	&boxV;	&#x02551;	&#9553;	BOX DRAWINGS DOUBLE VERTICAL
╒	&boxdR;	&#x02552;	&#9554;	BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
╓	&boxDr;	&#x02553;	&#9555;	BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
╔	&boxDR;	&#x02554;	&#9556;	BOX DRAWINGS DOUBLE DOWN AND RIGHT
╕	&boxdL;	&#x02555;	&#9557;	BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
╖	&boxDl;	&#x02556;	&#9558;	BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
╗	&boxDL;	&#x02557;	&#9559;	BOX DRAWINGS DOUBLE DOWN AND LEFT
╘	&boxuR;	&#x02558;	&#9560;	BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
╙	&boxUr;	&#x02559;	&#9561;	BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
╚	&boxUR;	&#x0255A;	&#9562;	BOX DRAWINGS DOUBLE UP AND RIGHT
╛	&boxuL;	&#x0255B;	&#9563;	BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
╜	&boxUl;	&#x0255C;	&#9564;	BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
╝	&boxUL;	&#x0255D;	&#9565;	BOX DRAWINGS DOUBLE UP AND LEFT
╞	&boxvR;	&#x0255E;	&#9566;	BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
╟	&boxVr;	&#x0255F;	&#9567;	BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
╠	&boxVR;	&#x02560;	&#9568;	BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
╡	&boxvL;	&#x02561;	&#9569;	BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
╢	&boxVl;	&#x02562;	&#9570;	BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
╣	&boxVL;	&#x02563;	&#9571;	BOX DRAWINGS DOUBLE VERTICAL AND LEFT
╤	&boxHd;	&#x02564;	&#9572;	BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
╥	&boxhD;	&#x02565;	&#9573;	BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
╦	&boxHD;	&#x02566;	&#9574;	BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
╧	&boxHu;	&#x02567;	&#9575;	BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
╨	&boxhU;	&#x02568;	&#9576;	BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
╩	&boxHU;	&#x02569;	&#9577;	BOX DRAWINGS DOUBLE UP AND HORIZONTAL
╪	&boxvH;	&#x0256A;	&#9578;	BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
╫	&boxVh;	&#x0256B;	&#9579;	BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
╬	&boxVH;	&#x0256C;	&#9580;	BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
▀	&uhblk;	&#x02580;	&#9600;	UPPER HALF BLOCK
▄	&lhblk;	&#x02584;	&#9604;	LOWER HALF BLOCK
█	&block;	&#x02588;	&#9608;	FULL BLOCK
░	&blk14;	&#x02591;	&#9617;	LIGHT SHADE
▒	&blk12;	&#x02592;	&#9618;	MEDIUM SHADE
▓	&blk34;	&#x02593;	&#9619;	DARK SHADE
□	&squ; &square; &Square;	&#x025A1;	&#9633;	WHITE SQUARE
▪	&squf; &squarf; &blacksquare; &FilledVerySmallSquare;	&#x025AA;	&#9642;	BLACK SMALL SQUARE
▫	&EmptyVerySmallSquare;	&#x025AB;	&#9643;	WHITE SMALL SQUARE
▭	&rect;	&#x025AD;	&#9645;	WHITE RECTANGLE
▮	&marker;	&#x025AE;	&#9646;	BLACK VERTICAL RECTANGLE
▱	&fltns;	&#x025B1;	&#9649;	WHITE PARALLELOGRAM
△	&xutri; &bigtriangleup;	&#x025B3;	&#9651;	WHITE UP-POINTING TRIANGLE
▴	&utrif; &blacktriangle;	&#x025B4;	&#9652;	BLACK UP-POINTING SMALL TRIANGLE
▵	&utri; &triangle;	&#x025B5;	&#9653;	WHITE UP-POINTING SMALL TRIANGLE
▸	&rtrif; &blacktriangleright;	&#x025B8;	&#9656;	BLACK RIGHT-POINTING SMALL TRIANGLE
▹	&rtri; &triangleright;	&#x025B9;	&#9657;	WHITE RIGHT-POINTING SMALL TRIANGLE
▽	&xdtri; &bigtriangledown;	&#x025BD;	&#9661;	WHITE DOWN-POINTING TRIANGLE
▾	&dtrif; &blacktriangledown;	&#x025BE;	&#9662;	BLACK DOWN-POINTING SMALL TRIANGLE
▿	&dtri; &triangledown;	&#x025BF;	&#9663;	WHITE DOWN-POINTING SMALL TRIANGLE
◂	&ltrif; &blacktriangleleft;	&#x025C2;	&#9666;	BLACK LEFT-POINTING SMALL TRIANGLE
◃	&ltri; &triangleleft;	&#x025C3;	&#9667;	WHITE LEFT-POINTING SMALL TRIANGLE
◊	&loz; &lozenge;	&#x025CA;	&#9674;	LOZENGE
○	&cir;	&#x025CB;	&#9675;	WHITE CIRCLE
◬	&tridot;	&#x025EC;	&#9708;	WHITE UP-POINTING TRIANGLE WITH DOT
◯	&xcirc; &bigcirc;	&#x025EF;	&#9711;	LARGE CIRCLE
◸	&ultri;	&#x025F8;	&#9720;	UPPER LEFT TRIANGLE
◹	&urtri;	&#x025F9;	&#9721;	UPPER RIGHT TRIANGLE
◺	&lltri;	&#x025FA;	&#9722;	LOWER LEFT TRIANGLE
◻	&EmptySmallSquare;	&#x025FB;	&#9723;	WHITE MEDIUM SQUARE
◼	&FilledSmallSquare;	&#x025FC;	&#9724;	BLACK MEDIUM SQUARE
★	&starf; &bigstar;	&#x02605;	&#9733;	BLACK STAR
☆	&star;	&#x02606;	&#9734;	WHITE STAR
☎	&phone;	&#x0260E;	&#9742;	BLACK TELEPHONE
♀	&female;	&#x02640;	&#9792;	FEMALE SIGN
♂	&male;	&#x02642;	&#9794;	MALE SIGN
♠	&spades; &spadesuit;	&#x02660;	&#9824;	BLACK SPADE SUIT
♣	&clubs; &clubsuit;	&#x02663;	&#9827;	BLACK CLUB SUIT
♥	&hearts; &heartsuit;	&#x02665;	&#9829;	BLACK HEART SUIT
♦	&diams; &diamondsuit;	&#x02666;	&#9830;	BLACK DIAMOND SUIT
♪	&sung;	&#x0266A;	&#9834;	EIGHTH NOTE
♭	&flat;	&#x0266D;	&#9837;	MUSIC FLAT SIGN
♮	&natur; &natural;	&#x0266E;	&#9838;	MUSIC NATURAL SIGN
♯	&sharp;	&#x0266F;	&#9839;	MUSIC SHARP SIGN
✓	&check; &checkmark;	&#x02713;	&#10003;	CHECK MARK
✗	&cross;	&#x02717;	&#10007;	BALLOT X
✠	&malt; &maltese;	&#x02720;	&#10016;	MALTESE CROSS
✶	&sext;	&#x02736;	&#10038;	SIX POINTED BLACK STAR
❘	&VerticalSeparator;	&#x02758;	&#10072;	LIGHT VERTICAL BAR
❲	&lbbrk;	&#x02772;	&#10098;	LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
❳	&rbbrk;	&#x02773;	&#10099;	LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
⟦	&lobrk; &LeftDoubleBracket;	&#x027E6;	&#10214;	MATHEMATICAL LEFT WHITE SQUARE BRACKET
⟧	&robrk; &RightDoubleBracket;	&#x027E7;	&#10215;	MATHEMATICAL RIGHT WHITE SQUARE BRACKET
⟨	&lang; &LeftAngleBracket; &langle;	&#x027E8;	&#10216;	MATHEMATICAL LEFT ANGLE BRACKET
⟩	&rang; &RightAngleBracket; &rangle;	&#x027E9;	&#10217;	MATHEMATICAL RIGHT ANGLE BRACKET
